NinjaScript File,Error,Code,Line,Column,
DataExtractorcs.cs,Argument 2: cannot convert from 'double' to 'int',CS1503,165,57,
DataExtractorcs.cs,Cannot implicitly convert type 'System.Collections.Generic.List<NinjaTrader.Gui.NinjaScript.IndicatorRenderBase>' to 'System.Collections.Generic.List<NinjaTrader.NinjaScript.Indicators.Indicator>',CS0029,376,43,
DataExtractorcs.cs,The name 'Draw' does not exist in the current context,CS0103,633,17,
DataExtractorcs.cs,The name 'TextPosition' does not exist in the current context,CS0103,633,117,
DataExtractorcs.cs,The name 'Draw' does not exist in the current context,CS0103,644,17,
DataExtractorcs.cs,The name 'TextPosition' does not exist in the current context,CS0103,644,77,
DataExtractorcs.cs,The name 'Draw' does not exist in the current context,CS0103,684,25,
DataExtractorcs.cs,The name 'TextPosition' does not exist in the current context,CS0103,684,80,
